DESTINATION,DESTINATION CODE,EFFECTIVE DATE,RATES (US$),STATUS,BILLING INCREMENT,DELETION DATE
Albania - AMC,35557260,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557390,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557463,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557464,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557543,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557544,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557584,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557643,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557644,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557683,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557770,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557771,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557843,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557865,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557943,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557963,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35557993,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558023,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558073,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558150,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558151,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558250,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558323,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558373,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558424,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558460,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558484,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558494,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558540,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558564,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558580,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558594,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558624,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558670,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558693,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558724,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558764,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558790,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558824,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558842,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558852,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558882,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558924,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558953,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35558983,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559150,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559240,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559324,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559360,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559394,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559424,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559462,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559492,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559540,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559572,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559622,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559664,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559674,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559684,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559694,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559722,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559754,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559770,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35559794,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35572780,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35581140,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35581141,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35581240,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35581241,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35581340,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35581341,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35581450,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35581451,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35581540,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3558290,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3558291,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3558340,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3558460,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,3558550,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586022,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586070,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586082,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586150,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586260,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586344,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586372,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586424,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586462,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586472,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586494,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586524,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586572,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586582,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586622,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586672,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586750,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586796,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586850,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586892,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586922,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35586972,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587150,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587151,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587174,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587184,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587194,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587224,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587270,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587294,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587322,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587392,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587442,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587482,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587540,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587622,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587652,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587672,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35587692,07-Jun-17,0.1285,Same, 1/1,
